Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,Finishers,winner_time,"Original name
Surname, first name",hours
162,7:27:58 h,,*Rotherham,GBR,1945,M,153,M50,7,8.974,6:36:14 h,98799,11. Swiss Alpine Marathon (SUI),27.07.1996,67km  trail race,"1199 (1100 M, 99 F)",5:28:51 h,"Harney, Brian",
7,3:44:18 h,"Harney, Brian",Rotherham H,GBR,1945,M,7,M50,2,13.375,3:18:24 h,98799,Edinburgh Self Transcendence 100km - 50km Split (GBR),21.07.1996,50km  road race,"26 (22 M, 4 F)",3:22:49 h,,
5,8:18:59 h,"Harney, Brian",Rotherham H,GBR,1945,M,5,M50,2,12.024,7:21:22 h,98799,Edinburgh Self Transcendence 100km (GBR),21.07.1996,100km  road race,"26 (22 M, 4 F)",7:17:16 h,,
2,7:13:42 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,2,M50,1,11.132,6:26:57 h,98799,13th Rowbotham's Round Rotherham (GBR),16.12.1995,50mi  trail race,"83 (71 M, 12 F)",7:04:30 h,,
14,5:58:38 h,,*Kelkheim,GER,1952,M,14,M40,2,11.209,5:42:19 h,9,10. Swiss Alpine Marathon (SUI),29.07.1995,67km  trail race,"1399 (1281 M, 118 F)",5:32:36 h,"Aderhold, Lutz",
630,8:41:35 h,,*Rotherham S.Yorkshire,GBR,1945,M,598,M50,45,7.707,7:45:22 h,98799,10. Swiss Alpine Marathon (SUI),29.07.1995,67km  trail race,"1399 (1281 M, 118 F)",5:32:36 h,"Harney, Brian",
16,8:25:24 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,15,M45,2,9.553,7:34:52 h,98799,12th Rowbotham's Round Rotherham (GBR),17.12.1994,50mi  trail race,"83 (74 M, 9 F)",7:05:55 h,,
37,6:34:58 h,,*Kelkheim,GER,1952,M,37,M40,3,10.178,6:20:05 h,9,9. Swiss Alpine Marathon (SUI),30.07.1994,67km  trail race,"1087 (980 M, 107 F)",5:35:50 h,"Aderhold, Lutz",
204,7:35:30 h,,*South Yorkshire,GBR,1945,M,191,M45,22,8.825,6:49:57 h,98799,9. Swiss Alpine Marathon (SUI),30.07.1994,67km  trail race,"1087 (980 M, 107 F)",5:35:50 h,"Harney, Brian",
14,7:32:06 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,13,M45,3,10.352,6:53:57 h,98799,10th Rowbotham's Round Rotherham (GBR),20.12.1992,78km  trail race,"116 (107 M, 9 F)",6:31:46 h,,
17,8:55:14 h,,Rotherham Harriers & AC,GBR,1945,M,15,M45,3,11.210,8:18:22 h,98799,100 km Nottingham (GBR),03.06.1990,100km  road race,"64 (57 M, 7 F)",6:46:29 h,"Harney, Brian",
19,7:54:12 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,16,M40,3,9.869,7:25:14 h,98799,7th Rowbotham's Round Rotherham (GBR),30.12.1989,78km  trail race,"48 (42 M, 6 F)",6:19:57 h,,
13,33:26:31 h,,,GBR,1945,M,13,M40,2,7.335,31:39:35 h,98799,6. Spartathlon (GRE),30.09.-01.10.1988,245.3km  trail race,"21 (21 M, 0 F)",24:42:05 h,"Harney, Brian",
8,112.654 km,"Harney, Brian",,GBR,1945,M,6,M40,2,4.694,118.997 km,98799,Mullingar 24 Hour Road Race (IRL),03.-04.07.1988,24h  road race,"12 (7 M, 5 F)",216.054 km,,
12,7:55:00 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,12,M40,5,9.853,7:37:06 h,98799,4th Rowbotham's Round Rotherham (GBR),27.12.1986,78km  trail race,"28 (27 M, 1 F)",6:38:00 h,,
34,52.512 km,"Harney, Brian",Rotherham Harriers,GBR,1945,M,30,M40,5,2.188,54.569 km,98799,24 hour road race Cranwell (GBR),07.-08.06.1986,24h  road race,"34 (30 M, 4 F)",245.306 km,,
1,6:30:00 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,1,M40,1,12.000,6:18:09 h,98799,3rd Rowbotham's Round Rotherham (GBR),28.12.1985,78km  trail race,"26 (26 M, 0 F)",6:30:00 h,,
37,165.220 km,"Harney, Brian",Rotherham Harriers,GBR,1945,M,34,M40,4,6.884,170.400 km,98799,7ème 24 heures de Niort (FRA),08.-09.11.1985,24h  road race,"101 (95 M, 6 F)",256.340 km,,
28,101.000 km,"Harney, Brian",,GBR,1945,M,28,M35,6,4.208,103.462 km,98799,24 hour road race Preston (GBR),04.-05.05.1985,24h  road race,"33 (33 M, 0 F)",251.028 km,,
5,7:44:00 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,5,M35,1,10.086,7:32:58 h,98799,2nd Rowbotham's Round Rotherham (GBR),29.12.1984,78km  trail race,"17 (17 M, 0 F)",6:54:00 h,,
4,123.200 km,"Harney, Brian",,GBR,1945,M,4,M35,1,10.267,126.204 km,98799,Crown & Anchor 12h Run (GBR),20.10.1984,12h  track,"14 (14 M, 0 F)",133.430 km,,
9,31:45:25 h,,,GBR,1945,M,9,M35,3,7.724,31:00:05 h,98799,2. Spartathlon (GRE),28.-29.09.1984,245.3km  trail race,"17 (14 M, 3 F)",20:25:00 h,"Harney, Brian",
17,557.206 km,"Harney, Brian",,GBR,1945,M,14,M35,5,3.869,570.791 km,98799,4th Charles Rowell Six-Day Track Race (GBR),19.-25.08.1984,6d  track,"29 (25 M, 4 F)",822.038 km,,
24,85.999 km,"Harney, Brian",Rotherham Harriers,GBR,1945,M,21,M35,5,3.583,88.096 km,98799,Humberside 24 Hours Track Race (GBR),28.-29.07.1984,24h  track,"26 (22 M, 4 F)",230.590 km,,
10,659.138 km,"Harney, Brian",,GBR,1945,M,9,M35,2,4.577,675.208 km,98799,Six Day Race Stoke (GBR),20.-26.05.1984,6d  road race,"19 (17 M, 2 F)",831.595 km,,
14,134.000 km,"Harney, Brian",,GBR,1945,M,12,M35,4,5.583,136.456 km,98799,3rd 24 hour road race Preston (GBR),05.-06.05.1984,24h  road race,"26 (24 M, 2 F)",221.952 km,,
1,7:36:00 h,"Harney, Brian",Rotherham H & AC,GBR,1945,M,1,M35,1,10.263,7:27:48 h,98799,1st Rowbotham's Round Rotherham (GBR),17.12.1983,78km  trail race,"7 (7 M, 0 F)",7:36:00 h,,
28,128.000 km,"Harney, Brian",,GBR,1945,M,24,M35,3,0.889,130.346 km,98799,3rd Charles Rowell Six-Day Track Race (GBR),31.07.-06.08.1983,6d  track,"28 (24 M, 4 F)",778.800 km,,
19,128.000 km,"Harney, Brian",,GBR,1945,M,18,M35,3,5.333,130.346 km,98799,3rd Charles Rowell Six-Day Track Race - 24h Split (GBR),31.07.-01.08.1983,24h  track,"27 (23 M, 4 F)",192.000 km,,
5,10:40:49 h,"Harney, Brian",,GBR,1945,M,4,M35,1,9.363,10:29:17 h,98799,3rd Charles Rowell Six-Day Track Race - 100km Split (GBR),31.07.1983,100km  track,"27 (23 M, 4 F)",8:53:26 h,,
21,112.946 km,"Harney, Brian",Rotherham Harriers,GBR,1945,M,21,M35,3,4.706,114.434 km,98799,24 hour road race Preston (GBR),30.04.-01.05.1983,24h  road race,"25 (25 M, 0 F)",246.368 km,,
9,656.906 km,"Harney, Brian",,GBR,1945,M,9,M35,4,4.562,665.558 km,98799,2nd Charles Rowell Six-Day Track Race (GBR),22.-28.08.1982,6d  track,"24 (22 M, 2 F)",927.600 km,,
16,235.734 km,"Harney, Brian",,GBR,1945,M,15,M35,4,4.911,238.839 km,98799,2nd Charles Rowell Six-Day Track Race - 48h Split (GBR),22.-24.08.1982,48h  track,"24 (22 M, 2 F)",343.500 km,,
13,26:19:48 h,"Harney, Brian",,GBR,1945,M,12,M35,5,6.112,25:59:16 h,98799,2nd Charles Rowell Six-Day Track Race - 100mi Split (GBR),22.-23.08.1982,100mi  track,"24 (22 M, 2 F)",15:13:00 h,,
13,150.473 km,"Harney, Brian",,GBR,1945,M,12,M35,5,6.270,152.455 km,98799,2nd Charles Rowell Six-Day Track Race - 24h Split (GBR),22.-23.08.1982,24h  track,"24 (22 M, 2 F)",216.778 km,,
3,696.800 km,"Harney, Brian",Rotherham Harriers,GBR,1945,M,3,M35,1,4.839,703.057 km,98799,1st Charles Rowell Six-Day Track Race (GBR),08.-14.11.1981,6d  track,"17 (17 M, 0 F)",813.200 km,,
41,6:56:12 h,"Harney, Brian",Rotherham Harriers & A.C,GBR,1945,M,41,M35,6,12.412,6:52:30 h,98799,31st London to Brighton Road Race (GBR),27.09.1981,86.1km  road race,"111 (109 M, 2 F)",5:21:15 h,,
17,70.400 km,"Harney, Brian",,GBR,1945,M,17,M23,7,2.933,70.605 km,98799,24 hour Crystal Palace Track Race (GBR),27.-28.10.1979,24h  track,"17 (17 M, 0 F)",247.275 km,,
45,7:11:39 h,"Harney, Brian",Rotherham Harriers,GBR,1945,M,45,M23,18,11.968,7:11:08 h,98799,28th London to Brighton Road Race (GBR),01.10.1978,86.1km  road race,"74 (74 M, 0 F)",5:13:02 h,,
45,4:35:54 h,"Harney, Brian",Rotherham Harriers,GBR,1945,M,45,M23,15,12.599,4:35:35 h,98799,Two Bridges race (GBR),26.08.1978,36mi  road race,"72 (72 M, 0 F)",3:24:45 h,,
32,7:01:33 h,"Harney, Brian",Rotherham Harriers & A.C,GBR,1945,M,32,M23,13,12.112,7:01:33 h,98799,26th London to Brighton Road Race (GBR),26.09.1976,85.1km  road race,"61 (61 M, 0 F)",5:23:32 h,,
319,7:09:45 h,"Barton, Gordon",,GBR,1974,M,185,M40,53,7.415,6:53:33 h,915325,6th Glen Ogle 33 (GBR),05.11.2016,33mi  trail race,"349 (197 M, 152 F)",3:29:52 h,,
65,6:58:31 h,"Barton, Gordon",,GBR,1974,M,50,M40,6,8.421,6:45:48 h,915325,6th Speyside Way Race (GBR),22.08.2015,36.5mi  trail race,"101 (76 M, 25 F)",4:09:22 h,,
85,7:20:00 h,"Bloor, Jack",,GBR,1994,M,59,M23,17,6.957,7:20:00 h,1207062,White Rose 30 Mile Ultra (GBR),03.11.2018,31.7mi  trail race,"96 (69 M, 27 F)",4:43:55 h,,
98,10:29:22 h,"Peacock, Tony",,GBR,1977,M,85,M35,19,6.751,10:23:46 h,431172,8th Cornwall Classic Quarter Ultra Marathon (GBR),07.06.2014,44mi  trail race,"197 (163 M, 34 F)",6:58:18 h,,
167,15:45:00 h,"Peacock, Tony",,GBR,1977,M,154,M35,28,7.048,15:39:49 h,431172,2nd The Wall Ultra Run 111 km nonstopp (GBR),22.-23.06.2013,111km  trail race,"372 (333 M, 39 F)",10:53:29 h,,
139,16:31:22 h,"Peacock, Tony",,GBR,1977,M,118,M23,17,6.718,16:28:30 h,431172,1st The Wall Ultra Run 111 km stage race (GBR),23.-24.06.2012,111km/2stages  stage race,"241 (181 M, 60 F)",9:06:28 h,,
358,17:22:34 h,"Deall, Tony",East & West,GBR,1944,M,281,M65,1,4.631,13:04:14 h,241416,Lakeland 50 Mile (GBR),28.-29.07.2012,50mi  trail race,"453 (343 M, 110 F)",8:30:51 h,,
135,11:57:05 h,"Deall, Tony",,GBR,1944,M,111,M65,3,6.733,9:16:06 h,241416,27th Rowbotham's Round Rotherham (GBR),17.10.2009,50mi  trail race,"208 (162 M, 46 F)",6:42:12 h,,
6,22:40:53 h,"Deall, Tony",,GBR,1944,M,4,M40,1,6.746,21:28:21 h,241416,4th West Highland Way Race (GBR),25.-26.06.1988,153km  trail race,"14 (11 M, 3 F)",18:18:54 h,,
20,6:22:03 h,"Wagstaff, John",Tipton Harriers,GBR,1949,M,20,M23,7,13.710,6:22:03 h,983416,30th London to Brighton Road Race (GBR),28.09.1980,87.3km  road race,"96 (92 M, 4 F)",5:15:15 h,,
17,4:01:52 h,"Wagstaff, John",Tipton Harriers,GBR,1949,M,17,M23,7,14.372,4:01:52 h,983416,Two Bridges race (GBR),23.08.1975,36mi  road race,"52 (52 M, 0 F)",3:26:45 h,,
970,20:59:26 h,,,IRL,,M,846,#NA,196,4.121,20:59:26 h,185314,2ème Courmayeur-Champex-Chamonix (CCC) (ITA),24.-25.08.2007,86.5km  trail race,"1330 (1127 M, 203 F)",10:19:46 h,"Rankin, Denis",
10,166.421 km,"Artiss, Howard",,GBR,1942,M,10,M35,2,6.934,170.478 km,983595,Blackburn 24 Hours Track Run (GBR),29.-30.08.1981,24h  track,"13 (13 M, 0 F)",214.700 km,,
74,7:34:11 h,"Artiss, Howard",Verlea AC,GBR,1942,M,70,M35,10,11.533,7:28:17 h,983595,29th London to Brighton Road Race (GBR),30.09.1979,87.3km  road race,"106 (103 M, 3 F)",5:32:37 h,,
50,7:27:06 h,"Artiss, Howard",Verlea A.C,GBR,1942,M,50,M35,11,11.554,7:23:08 h,983595,28th London to Brighton Road Race (GBR),01.10.1978,86.1km  road race,"74 (74 M, 0 F)",5:13:02 h,,
48,7:02:34 h,"Artiss, Howard",Verlea A.C,GBR,1942,M,48,M35,11,12.083,7:00:15 h,983595,27th London to Brighton Road Race (GBR),25.09.1977,85.1km  road race,"73 (73 M, 0 F)",5:16:05 h,,
25,4:10:18 h,"Artiss, Howard",Verlea A.C,GBR,1942,M,25,M35,5,13.888,4:08:56 h,983595,Two Bridges race (GBR),27.08.1977,36mi  road race,"60 (60 M, 0 F)",3:27:10 h,,
24,3:42:49 h,"Artiss, Howard",Verlea A.C.,GBR,1942,M,24,M23,6,13.001,3:42:11 h,983595,South London Harriers 30 Mile (GBR),03.09.1976,30mi  road race,"30 (30 M, 0 F)",2:58:58 h,,
7,3:04:53 h,"Artiss, Howard",,GBR,1942,M,7,M23,5,15.668,3:04:51 h,983595,Walton-on-Thames 30 Mile Track Race (GBR),02.11.1974,30mi  track,"14 (14 M, 0 F)",2:44:47 h,,
34,6:32:32 h,"Artiss, Howard",Verlea A.C,GBR,1942,M,34,M23,15,12.947,6:32:28 h,983595,24th London to Brighton Road Race (GBR),29.09.1974,84.7km  road race,"77 (77 M, 0 F)",5:16:07 h,,
6,3:10:44 h,"Artiss, Howard",Verlea A.C.,GBR,1942,M,6,M23,5,15.188,3:10:42 h,983595,South London Harriers 30 Mile (GBR),07.09.1974,30mi  road race,"30 (30 M, 0 F)",2:46:49 h,,
21,6:37:20 h,"Artiss, Howard",Verlea A.C,GBR,1942,M,21,M23,14,12.790,6:37:20 h,983595,22nd London to Brighton Road Race (GBR),01.10.1972,84.7km  road race,"41 (40 M, 1 F)",5:11:02 h,,
13,3:18:32 h,"Artiss, Howard",Verlea A.C.,GBR,1942,M,13,M23,8,14.591,3:18:32 h,983595,South London Harriers 30 Mile (GBR),02.09.1972,30mi  road race,"20 (20 M, 0 F)",2:53:48 h,,
27,4:14:05 h,"Artiss, Howard",Verlea A.C,GBR,1942,M,27,M23,16,13.681,4:14:05 h,983595,Two Bridges race (GBR),19.08.1972,36mi  road race,"38 (38 M, 0 F)",3:24:07 h,,
40,7:16:28 h,"Artiss, Howard",,GBR,1942,M,40,M23,20,11.644,7:16:28 h,983595,21st London to Brighton Road Race (GBR),26.09.1971,84.7km  road race,"51 (51 M, 0 F)",5:21:45 h,,
9,4:35:10 h,"Artiss, Howard",,GBR,1942,M,9,M23,5,13.124,4:35:10 h,983595,8th 40 mile road race - Woodford to Southend (GBR),31.07.1971,37.4mi  road race,"21 (21 M, 0 F)",4:03:31 h,,
348,10:49:39 h,,Fittleworth Flyers,GBR,1956,M,256,M55,19,4.710,8:59:13 h,20516,2. Eiger Ultra Trail 51 km (SUI),19.07.2014,51km  trail race,"488 (348 M, 140 F)",5:38:05 h,"Greaves, Martyn J.",
68,8:15:34 h,"Greaves, Martyn J.",Sussex LDWA,GBR,1956,M,54,M55,6,6.054,6:55:12 h,20516,30th Gatliff 50 km Marathon (GBR),24.11.2013,50km  trail race,"116 (91 M, 25 F)",4:32:53 h,,
80,10:00:00 h,"Greaves, Martyn J.",LDWA,GBR,1956,M,63,M55,8,5.000,8:27:22 h,20516,29th Gatliff 50 km Marathon (GBR),25.11.2012,50km  trail race,"107 (79 M, 28 F)",6:02:54 h,,
61,8:11:22 h,"Greaves, Martyn J.",Sussex LDWA,GBR,1956,M,52,M55,4,6.105,6:59:17 h,20516,28th Gatliff 50 km Marathon (GBR),27.11.2011,50km  trail race,"136 (109 M, 27 F)",5:16:04 h,,
119,6:37:19 h,,Fittleworth Fliers,GBR,1956,M,83,M55,5,7.551,5:39:02 h,20516,Salisbury 54321 Trails Race (GBR),14.08.2011,50km  trail race,"126 (87 M, 39 F)",4:04:46 h,"Greaves, Martyn J.",
110,7:34:11 h,"Greaves, Martyn J.",LDWA UK,GBR,1956,M,97,M55,11,7.134,6:27:34 h,20516,25. Ultra-Alpinmarathon Veitsch (AUT),25.06.2011,54km  trail race,"118 (105 M, 13 F)",4:10:36 h,,
58,7:31:10 h,"Greaves, Martyn J.",Sussex LDWA,GBR,1956,M,45,M50,5,6.649,6:28:30 h,20516,27th Gatliff 50 km Marathon (GBR),28.11.2010,50km  trail race,"111 (85 M, 26 F)",4:54:34 h,,
57,8:12:43 h,"Greaves, Martyn J.",Sussex LDWA,GBR,1956,M,51,M50,5,6.089,7:08:08 h,20516,26th Gatliff 50 km Marathon (GBR),29.11.2009,50km  trail race,"107 (80 M, 27 F)",5:21:41 h,,
56,6:37:27 h,,*West Chiltington,GBR,1956,M,52,M50,5,7.548,5:54:37 h,20516,6. Slowenischer Alpen Marathon SAM (SLO),09.09.2006,50km  trail race,"75 (68 M, 7 F)",4:10:25 h,"Greaves, Martyn J.",
101,8:17:24 h,"Greaves, Martyn J.",,GBR,1956,M,82,M50,12,6.634,7:23:47 h,20516,"10. Laugavegurinn 55 km, Landmannalaugar - Húsadalur (ISL)",15.07.2006,55km  trail race,"119 (93 M, 26 F)",5:26:05 h,,
23,7:25:30 h,"Greaves, Martyn J.",Sussex LDWA,GBR,1956,M,22,M45,4,6.734,6:40:57 h,20516,22nd Gatliff 50 km Marathon (GBR),27.11.2005,50km  trail race,"66 (54 M, 12 F)",5:19:05 h,,
128,32:45:10 h,,AC Denderland,BEL,1961,M,122,M40,27,4.732,31:00:26 h,205,3ème Ultra Trail Tour du Mont Blanc (UTMB) (FRA),26.-28.08.2005,155km  trail race,"773 (725 M, 48 F)",21:11:07 h,"Bogaert, Johan",
377,38:32:39 h,,Horsham Joggers,GBR,1956,M,357,M45,68,4.021,34:41:24 h,20516,3ème Ultra Trail Tour du Mont Blanc (UTMB) (FRA),26.-28.08.2005,155km  trail race,"773 (725 M, 48 F)",21:11:07 h,"Greaves, Martyn J.",
129,8:18:01 h,,TF Feuerbach,GER,1952,M,122,M50,8,9.397,7:16:37 h,2,20. Swiss Alpine Marathon (SUI),30.07.2005,78km  trail race,"1104 (966 M, 138 F)",6:00:09 h,"Abel, Jürgen",
790,10:35:40 h,,Horsham Joggers,GBR,1956,M,703,M45,156,7.362,9:32:06 h,20516,20. Swiss Alpine Marathon (SUI),30.07.2005,78km  trail race,"1104 (966 M, 138 F)",6:00:09 h,"Greaves, Martyn J.",
25,7:22:31 h,"Greaves, Martyn J.",Sussex LDWA,GBR,1956,M,21,M45,5,6.779,6:41:43 h,20516,21st Gatliff 50 km Marathon (GBR),28.11.2004,50km  trail race,"68 (53 M, 15 F)",5:23:13 h,,
100,29:27:05 h,"Greaves, Martyn J.",,GBR,1956,M,88,M35,23,5.464,28:45:02 h,20516,13th Leadville Trail 100 Mile (USA),21.-22.08.1995,100mi  trail race,"130 (115 M, 15 F)",20:33:05 h,,
124,29:04:44 h,"Greaves, Martyn J.",,GBR,1956,M,111,M35,27,5.534,28:33:20 h,20516,12th Leadville Trail 100 Mile (USA),20.-21.08.1994,100mi  trail race,"156 (137 M, 19 F)",17:30:42 h,,
35,47:46:26 h,"Greaves, Martyn J.",,GBR,1956,M,31,M35,7,3.369,46:54:51 h,20516,3rd Hardrock Hundred Endurance Run (USA),07.-09.07.1994,100mi  trail race,"37 (34 M, 3 F)",32:00:13 h,,
150,27:34:07 h,,,GBR,1956,M,136,M35,24,5.838,27:04:21 h,20516,21st Western States 100 Mile Endurance Run (USA),23.-24.06.1994,100mi  trail race,"249 (213 M, 36 F)",16:51:01 h,"Greaves, Martyn J.",
39,25:15:26 h,"Greaves, Martyn J.",,GBR,1956,M,35,M35,10,6.372,24:55:44 h,20516,11th Leadville Trail 100 Mile (USA),21.-22.08.1993,100mi  trail race,"136 (121 M, 15 F)",20:03:33 h,,
14,41:22:34 h,"Greaves, Martyn J.",,GBR,1956,M,14,M35,3,3.890,40:50:18 h,20516,2nd Hardrock Hundred Endurance Run (USA),09.-11.07.1993,100mi  trail race,"26 (24 M, 2 F)",29:35:48 h,,
176,29:19:36 h,,,GBR,1956,M,148,M35,27,5.488,28:56:44 h,20516,20th Western States 100 Mile Endurance Run (USA),26.-27.06.1993,100mi  trail race,"209 (175 M, 34 F)",17:08:34 h,"Greaves, Martyn J.",
32,8:31:39 h,"Greaves, Martyn J.",Horsham,GBR,1956,M,30,M35,7,9.147,8:27:06 h,20516,10th Rowbotham's Round Rotherham (GBR),20.12.1992,78km  trail race,"116 (107 M, 9 F)",6:31:46 h,,
51,9:49:32 h,"Greaves, Martyn J.",,GBR,1956,M,50,M35,11,8.190,9:44:18 h,20516,10th Mountain Masochist 50 Mile Trail Run (USA),24.10.1992,50mi  trail race,"155 (147 M, 8 F)",7:22:41 h,,
8,20:16:35 h,"Greaves, Martyn J.",,GBR,1956,M,8,M35,3,7.937,20:05:46 h,20516,2nd Arkansas Traveller 100 (USA),10.-11.10.1992,100mi  trail race,"67 (52 M, 15 F)",16:30:02 h,,
38,24:49:01 h,"Greaves, Martyn J.",,GBR,1956,M,36,M35,8,6.485,24:35:46 h,20516,10th Leadville Trail 100 Mile (USA),22.-23.08.1992,100mi  trail race,"139 (122 M, 17 F)",19:51:10 h,,
67,23:48:33 h,,,GBR,1956,M,62,M35,15,6.759,23:35:51 h,20516,19th Western States 100 Mile Endurance Run (USA),27.-28.06.1992,100mi  trail race,"230 (202 M, 28 F)",16:54:16 h,"Greaves, Martyn J.",
20,8:25:40 h,"Greaves, Martyn J.",Horsham,GBR,1956,M,16,M35,1,9.255,8:22:54 h,20516,9th Rowbotham's Round Rotherham (GBR),28.12.1991,78km  trail race,"97 (86 M, 11 F)",6:41:12 h,,
26,23:58:01 h,"Greaves, Martyn J.",,GBR,1956,M,24,M35,5,6.715,23:50:07 h,20516,9th Leadville Trail 100 Mile (USA),17.-18.08.1991,100mi  trail race,"147 (135 M, 12 F)",19:38:04 h,,
553,8:31:20 h,,"*Pulborough, Sussex",GBR,1956,M,526,M35,109,7.862,8:28:32 h,20516,6. Swiss Alpine Marathon (SUI),27.07.1991,67km  trail race,"1160 (1080 M, 80 F)",5:21:46 h,"Greaves, Martyn J.",
73,23:18:25 h,"Greaves, Martyn J.",,GBR,1956,M,68,M35,19,6.905,23:10:44 h,20516,18th Western States 100 Mile Endurance Run (USA),29.-30.06.1991,100mi  trail race,"242 (202 M, 40 F)",15:54:05 h,,
19,23:04:55 h,"Greaves, Martyn J.",,GBR,1956,M,17,M23,8,6.972,23:00:55 h,20516,8th Leadville Trail 100 Mile (USA),18.-19.08.1990,100mi  trail race,"120 (104 M, 16 F)",17:55:57 h,,
39,8:14:20 h,"Greaves, Martyn J.",,GBR,1956,M,36,M23,6,5.860,8:12:54 h,20516,2nd Knee Knackering North Shore Trail Run (CAN),14.07.1990,30mi  trail race,"52 (46 M, 6 F)",5:15:00 h,,
79,23:54:00 h,"Greaves, Martyn J.",,GBR,1956,M,68,M23,17,6.734,23:49:51 h,20516,17th Western States 100 Mile Endurance Run (USA),23.-24.06.1990,100mi  trail race,"211 (177 M, 34 F)",16:38:52 h,,
6,22:05:00 h,"Greaves, Martyn J.",,GBR,1956,M,6,M23,2,7.288,22:01:10 h,20516,1st Mohican Trail 100 Mile (USA),16.-17.06.1990,100mi  trail race,"34 (32 M, 2 F)",16:51:00 h,,
10,8:52:38 h,"Greaves, Martyn J.",,GBR,1956,M,9,M23,2,9.064,8:52:00 h,20516,2nd McKenzie River 50 Mile Trail Run (USA),09.09.1989,50mi  trail race,"31 (26 M, 5 F)",7:09:34 h,,
14,22:22:50 h,"Greaves, Martyn J.",,GBR,1956,M,12,M23,4,7.191,22:21:14 h,20516,7th Leadville Trail 100 Mile (USA),19.-20.08.1989,100mi  trail race,"139 (124 M, 15 F)",18:56:40 h,,
3,17:21:35 h,"Greaves, Martyn J.",,GBR,1956,M,3,M23,2,9.271,17:20:21 h,20516,1st Vermont 100 Mile Endurance Race (USA),29.-30.07.1989,100mi  trail race,"93 (82 M, 11 F)",15:48:59 h,,
9,26:37:58 h,"Greaves, Martyn J.",*ENG,GBR,1956,M,9,M23,1,6.043,26:37:39 h,20516,9th Wasatch Front 100 Mile (USA),09.-10.09.1988,100mi  trail race,"55 (52 M, 3 F)",21:41:07 h,,
6,20:58:07 h,"Greaves, Martyn J.",,GBR,1956,M,6,M23,4,7.675,20:57:52 h,20516,6th Leadville Trail 100 Mile (USA),20.-21.08.1988,100mi  trail race,"135 (123 M, 12 F)",18:04:03 h,,
31,20:56:36 h,,,GBR,1956,M,29,M23,12,7.684,20:56:21 h,20516,15th Western States 100 Mile Endurance Run (USA),25.-26.06.1988,100mi  trail race,"250 (228 M, 22 F)",16:24:00 h,"Greaves, Martyn J.",
11,21:21:00 h,"Greaves, Martyn J.",,GBR,1956,M,11,M23,2,7.538,21:20:45 h,20516,10th Old Dominion 100 Mile Endurance Run (USA),11.-12.06.1988,100mi  trail race,"68 (62 M, 6 F)",18:38:00 h,,
6,22:30:20 h,"Greaves, Martyn J.",,GBR,1956,M,6,M23,3,7.151,22:30:20 h,20516,2nd Angeles Crest 100 Mile (USA),26.-27.09.1987,100mi  trail race,"43 (40 M, 3 F)",19:37:13 h,,
4,21:09:26 h,"Greaves, Martyn J.",,GBR,1956,M,4,M23,2,7.607,21:09:26 h,20516,5th Leadville Trail 100 Mile (USA),22.-23.08.1987,100mi  trail race,"86 (80 M, 6 F)",18:44:55 h,,
3,11:25:00 h,"Greaves, Martyn J.",Dark Peak Fell Runners,GBR,1956,M,3,M23,1,11.277,11:25:00 h,20516,South Downs Way 80 Mile Trail Run (GBR),27.-28.06.1987,80mi  trail race,"359 (337 M, 22 F)",10:36:12 h,,
6,23:01:24 h,"Greaves, Martyn J.",,GBR,1956,M,5,M23,4,6.990,23:01:24 h,20516,4th Leadville Trail 100 Mile (USA),16.-17.08.1986,100mi  trail race,"45 (43 M, 2 F)",19:26:09 h,,
1,13:09:36 h,"Greaves, Martyn J.",,GBR,1956,M,1,M23,1,9.783,13:09:36 h,20516,South Downs Way 80 Mile Trail Run (GBR),28.-29.06.1986,80mi  trail race,"4 (3 M, 1 F)",13:09:36 h,,
30,21:34:36 h,"Greaves, Martyn J.",,GBR,1956,M,29,M23,12,7.459,21:34:36 h,20516,12th Western States 100 Mile Endurance Run (USA),06.-07.07.1985,100mi  trail race,"161 (141 M, 20 F)",16:02:44 h,,
6,11:45:34 h,"Greaves, Martyn J.",,GBR,1956,M,6,M23,2,10.948,11:45:34 h,20516,South Downs Way 80 Mile Trail Run (GBR),29.-30.06.1985,80mi  trail race,"12 (11 M, 1 F)",9:52:46 h,,
1,11:01:40 h,"Greaves, Martyn J.",Horsham,GBR,1956,M,1,M23,1,11.675,11:01:40 h,20516,South Downs Way 80 Mile Trail Run (GBR),30.06.-01.07.1984,80mi  trail race,"11 (9 M, 2 F)",11:01:40 h,,
70,13:53:53 h,"Piper, Neil",Dark Peak FR,GBR,1946,M,63,M55,10,5.790,11:51:34 h,400789,20th Rowbotham's Round Rotherham (GBR),14.12.2002,50mi  trail race,"101 (92 M, 9 F)",7:06:37 h,,
